id,question,artist,song
1,https://www.youtube.com/watch?v=e-ORhEE9VVg&list=RDEMb1vAi4rwXXeDlr7NZ68C_w&start_radio=1&t=3,taylor swift,blank space
2,https://youtu.be/Sl6en1NPTYM?list=RDEMb1vAi4rwXXeDlr7NZ68C_w&t=7,taylor swift,i can do it with a broken heart
3,https://www.youtube.com/watch?v=Cbl-IR2G4y4,miley cyrus,heaven
4,https://www.youtube.com/watch?v=CRhXletqFyw,billie eilish,birds of a feather
5,https://www.youtube.com/watch?v=ir11ZA4lJJk,billie eilish,blue
6,https://www.youtube.com/watch?v=3pKfuNBMQW8&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=2,charlotte cardin,confetti
7,https://www.youtube.com/watch?v=JSdOXqsy2A0&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=2,lewis capaldi,haven't you ever been in love before?
8,https://www.youtube.com/watch?v=DAOZJPquY_w&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=3&t=24,post malone,mourning
9,https://www.youtube.com/watch?v=4q-Y6wt1h3k&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=4,miley cyrus,jaded
11,https://www.youtube.com/watch?v=Ntc2XNAGGMQ&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=6,maroon 5,middle ground
12,https://www.youtube.com/watch?v=pqCVMRcj_bc&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=7,labrinth,never felt so alone
13,https://www.youtube.com/watch?v=TasKo5HHWb4&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=8&t=29,jonas brothers,waffle house
14,https://www.youtube.com/watch?v=4G9LwTTnn_k&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=9,niall horan,heaven
15,https://www.youtube.com/watch?v=h8DLofLM7No&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=10,taylor swift,lavender haze
16,https://www.youtube.com/watch?v=9coyY-SPIXU&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=11&t=4,meghan trainor,mother
17,https://www.youtube.com/watch?v=G7KNmW9a75Y&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=13&t=7,miley cyrus,flowers
18,https://www.youtube.com/watch?v=WcIcVapfqXw&list=RDCLAK5uy_mkh1nnin_Fb4OkYs--r2iF59j62Y_YXyE&index=14,rema & selena gomez,calm down
